"id","datetime","revision","fw_maj","fw_min","git_hash","base_name","pcb_name","path","fromHost","goldImg","serial","serialHex"
"15552","2024-12-09 13:50:53","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","215057809","0CD1-8591"
"15553","2024-12-09 13:50:53","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","242544689","0E74-F031"
"15554","2024-12-09 13:50:53","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","242593915","0E75-B07B"
"15555","2024-12-09 13:50:53","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","225198099","0D6C-4013"
"15556","2024-12-09 13:50:53","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","215028712","0CD1-13E8"
"15551","2024-12-09 13:50:52","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","225199094","0D6C-43F6"
"15549","2024-12-09 13:50:51","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","225198160","0D6C-4050"
"15550","2024-12-09 13:50:51","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","242545096","0E74-F1C8"
"15547","2024-12-09 13:50:50","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","225189921","0D6C-2021"
"15548","2024-12-09 13:50:50","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","242621554","0E76-1C72"
"15545","2024-12-09 13:50:48","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","242544259","0E74-EE83"
"15546","2024-12-09 13:50:48","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","1","242573277","0E75-5FDD"
"15544","2024-12-09 13:48:06","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","242593915","0E75-B07B"
"15542","2024-12-09 13:48:05","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","225198099","0D6C-4013"
"15543","2024-12-09 13:48:05","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","215057809","0CD1-8591"
"15541","2024-12-09 13:48:04","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","242544689","0E74-F031"
"15540","2024-12-09 13:48:03","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","215028712","0CD1-13E8"
"15536","2024-12-09 13:48:02","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","225199094","0D6C-43F6"
"15537","2024-12-09 13:48:02","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","225189921","0D6C-2021"
"15538","2024-12-09 13:48:02","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","225198160","0D6C-4050"
"15539","2024-12-09 13:48:02","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","242573277","0E75-5FDD"
"15534","2024-12-09 13:48:01","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","242621554","0E76-1C72"
"15535","2024-12-09 13:48:01","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","242545096","0E74-F1C8"
"15533","2024-12-09 13:48:00","0","1","8","196bb6a","adc64ecal_felink-1.8-0-g196bb6a.bit",NULL,"/net/afi-nas/vol/firmware/fpga/auto/adc64ecal_felink/adc64ecal_felink-1.8-0-g196bb6a.bit","st42-ecal.example.com","0","242544259","0E74-EE83"
"15532","2024-12-09 12:10:43","0","1","7","bdc1392","ttvxs-1.7-0-gbdc1392.bit",NULL,"/net/afi-nas/vol/firmware/fpga/release/ttvxs/ttvxs-1.7-0-gbdc1392.bit","tof-stand-1.example.com","0","178248011","0A9F-D94B"
